No.,Article Title,Language,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",Publication Year,Number of Pages
541,Machine Learning and Big Data for Cybersecurity: Systematic Literature Review,English,33,0,0,2024,10
542,Data Analytics for Cybersecurity Based on Machine Learning Algorithms,English,15,1,1,2023,5
543,"Framework of artificial intelligence in diabetology. Artificial intelligence-caught between data protection, ethics, approval, and demand",German,23,1,1,2025,7
544,Local Government Cybersecurity Landscape: A Systematic Review and Conceptual Framework,English,140,12,15,2024,33
545,Integrating Cybersecurity in V2X: A Review of Simulation Environments,English,142,1,1,2024,40
546,A literature review of Artificial Intelligence applications in railway systems,English,168,113,137,2022,25
547,The importance of cybersecurity frameworks to regulate emergent AI technologies for space applications,English,46,7,8,2023,9
548,Integrating Blockchain with Artificial Intelligence to Secure IoT Networks: Future Trends,English,40,12,12,2022,27
549,Research for making smart city cybersecurity policy according to communication theory: Focus on the communication structure,English,19,0,0,2022,7
550,Increasing the Speed of Banking Cybersecurity Systems Based on Intelligent Data Analysis and Artificial Intelligence Algorithms for Predicting Cyberattacks. I,English,13,1,1,2023,7
551,Cybersecurity Education: From Beginners to Advanced Players in Cybersecurity Competitions,English,3,6,9,2019,3
552,CDMC'19-The 10th International Cybersecurity Data Mining Competition,English,6,0,0,2020,11
553,"Exploring South Africa's Cybersecurity Legal Framework Regulating Information Confidentiality, Integrity, and Availability",English,22,0,0,2024,8
554,AI software selection for cybersecurity auditing using neutrosophic CRITIC CODAS,English,69,0,0,2025,13
555,Application of deep reinforcement learning algorithms for automatic threat detection and response in dynamic network environments to improve cybersecurity,English,27,0,0,2025,14
556,"Challenges and Opportunities in Industry 4.0 for Mechatronics, Artificial Intelligence and Cybernetics",English,91,19,30,2021,23
557,A Systematic Review of Defensive and Offensive Cybersecurity with Machine Learning,English,133,16,21,2020,26
558,Evaluating Large Language Models in Cybersecurity Knowledge with Cisco Certificates,English,30,0,0,2025,20
559,"A Review of Smart Photovoltaic Systems Which Are Using Remote-Control, AI, and Cybersecurity Approaches",English,107,7,7,2024,25
560,Empowering Security Operation Center With Artificial Intelligence and Machine LearningA Systematic Literature Review,English,139,2,2,2025,36
561,Changing Hearts and Minds: The Role of Cybersecurity Champion Programs in Cybersecurity Culture,English,44,1,1,2023,13
562,Challenges involved in the application of artificial intelligence in gastroenterology: The race is on!,English,68,6,8,2023,12
563,"Survey of IoT multi-protocol gateways: Architectures, protocols and cybersecurity",English,114,0,0,2025,17
564,Artificial Intelligence and Human Well-Being: A Review of Applications and Effects on Life Satisfaction through Synthetic Happiness,English,43,0,0,2025,24
565,Building Trust Bridges: The Dynamics of Autonomy and Transparency in Expert-AI Collaboration for Cybersecurity,English,21,0,0,2025,3
566,"CYBERSECURITY IN TOURISM AND HOSPITALITY MANAGEMENT RESEARCH: CURRENT ISSUES, TRENDS, AND AN AGENDA FOR FUTURE RESEARCH",English,34,2,2,2024,18
567,"Integration of Cybersecurity, Usability, and Human-Computer Interaction for Securing Energy Management Systems",English,59,2,3,2024,30
568,Strengths and weaknesses of current and future prospects of artificial intelligence-mounted technologies applied in the development of pharmaceutical products and services,English,53,4,4,2024,7
569,Large Language Models in Cyberattacks,English,69,1,1,2024,11
570,"RETRACTED: Artificial intelligence assisted cyber threat assessment and applications for the tourism industry (Retracted article. See JUL, 2023)",English,27,5,6,2023,17
571,A Survey: Emerging Cybersecurity Threats in Driverless Cars,English,31,0,0,2024,7
572,Surveying Cyber Threat Intelligence and Collaboration: A Concise Analysis of Current Landscape and Trends,English,15,1,1,2023,6
573,Optimization of a Depiction Procedure for an Artificial Intelligence-Based Network Protection System Using a Genetic Algorithm,English,51,5,6,2021,24
574,"Generative AI in EU law: Liability, privacy, intellectual property, and cybersecurity",English,93,17,20,2024,16
575,Artificial intelligence analysis in cyber domain: A review,English,43,7,15,2022,12
576,Autonomous Cybersecurity Testbed for Operational Technology Networks,English,15,0,0,2025,6
577,Coalescing Research into Modular and Safe Educational Cybersecurity Labs with AI Solutions,English,90,0,0,2024,9
578,An Overview of the Security Improvements of Artificial Intelligence in MANET,English,36,2,2,2023,12
579,Cybersecurity in neural interfaces: Survey and future trends,English,172,6,7,2023,16
580,An AI-Based Cyber Ranges to Strengthen the Cybersecurity of Cyber Physical Systems,English,29,0,0,2025,33
581,Revolutionising Impacts of Artificial Intelligence on Health Care System and Its Related Medical In-Transparencies,English,11,6,6,2024,3
582,A Comprehensive Study of the IoT Cybersecurity in Smart Cities,English,117,50,59,2020,20
583,Engaging Females in Cybersecurity: K through Gray,English,21,2,4,2016,6
584,"Cybersecurity in the Oil and Gas Sector: Vulnerabilities, Solutions, and Future Directions",English,61,0,0,2024,7
585,"Artificial Intelligence for 5G Wireless Systems: Opportunities, Challenges, and Future Research Direction",English,49,24,32,2020,6
586,Cognitive behavioural characteristics identification for remote user authentication for cybersecurity,English,58,0,0,2025,12
587,"Cybersecurity Awareness, Education, and Workplace Training Using Socially Enabled Intelligent Chatbots",English,30,2,2,2023,14
588,Cybersecurity Framework: Addressing Resiliency in Welsh SMEs for Digital Transformation and Industry 5.0,English,28,0,0,2025,27
589,A Multianalytical SEM-ANN Approach to Investigate the Social Sustainability of AI Chatbots Based on Cybersecurity and Protection Motivation Theory,English,81,20,22,2024,12
590,Adversarial XAI Methods in Cybersecurity,English,87,56,63,2021,15
591,Artificial intelligence as a medical device in radiology: ethical and regulatory issues in Europe and the United States,English,58,276,329,2018,9
592,Mind the gap: unveiling the advantages and challenges of artificial intelligence in the healthcare ecosystem,English,238,2,2,2025,44
593,Energy Analysis-Based Cyber Attack Detection by IoT with Artificial Intelligence in a Sustainable Smart City,English,24,9,12,2023,14
594,Closing the artificial intelligence skills gap in construction: competency insights from a systematic review,English,118,0,0,2025,17
595,Innovative Integration of Visible Light Communication and Artificial Intelligence to Enhance Urban Traffic Management,English,25,0,0,2025,19
596,Applications of AI in cybersecurity,English,5,4,6,2020,4
597,Knowledge Graph to Facilitate Cloud Security Compliance with NIST Cybersecurity Framework,English,12,0,0,2024,6
598,Big Data in Cybersecurity: Enhancing Threat Detection with AI and ML,English,21,0,0,2025,9
599,The Convergence of Artificial Intelligence and Blockchain: The State of Play and the Road Ahead,English,182,22,28,2024,32
600,A bibliometric review of Internet of Things (IoT) on cybersecurity issues,English,50,6,8,2025,19
601,Unveiling personalized and gamification-based cybersecurity risks within financial institutions,English,68,4,4,2025,36
602,"Digital Transformation of Microgrids: A Review of Design, Operation, Optimization, and Cybersecurity",English,273,22,26,2023,58
603,Artificial Intelligence-based Attack and Countermeasure Agents: Who wins? An Invited Paper,English,17,0,0,2019,5
604,Enhancing Cybersecurity Through Artificial Intelligence: A Novel Approach to Intrusion Detection,English,18,0,0,2025,10
605,Data privacy and cybersecurity challenges in the digital transformation of the banking sector,English,71,16,23,2024,11
606,"AI Leads, Cybersecurity Follows: Unveiling Research Priorities in Sustainable Development Goal-Relevant Technologies across Nations",English,75,0,0,2024,31
607,Cybersecurity Framework for Synthetic Data in Training Medical AI,English,42,0,0,2024,9
608,Explainable Artificial Intelligence-Based Model Drift Detection Applicable to Unsupervised Environments,English,24,1,1,2023,19
609,A Hybrid KAN-BiLSTM Transformer with Multi-Domain Dynamic Attention Model for Cybersecurity,English,64,2,2,2025,26
610,Explainability versus Security: The Unintended Consequences of xAI in Cybersecurity,English,30,1,1,2024,7
611,Enabling the Department of Defense's Future to Test and Evaluate Artificial Intelligence Enabled Systems,English,15,1,2,2023,8
612,AIBPSF-IoMT: Artificial Intelligence and Blockchain-Based Predictive Security Framework for IoMT Technologies,English,143,5,5,2023,21
613,"Artificial intelligence for microgrids design, control, and maintenance: A comprehensive review and prospects",English,209,1,2,2025,24
614,Text Mining in Cybersecurity: A Systematic Literature Review,English,200,27,34,2021,36
615,GPTs or Grim Position Threats? The Potential Impacts of Large Language Models on Non-Managerial Jobs and Certifications in Cybersecurity,English,44,0,0,2024,22
616,Safety and Security in Smart Cities Using Artificial Intelligence-A Review,English,8,40,56,2017,4
617,The long road ahead: navigating obstacles and building bridges for clinical integration of artificial intelligence technologies,English,48,1,2,2025,8
618,Analysis of the Challenges of Artificial Intelligence of Things (AIoT) for the Smart Supply Chain (Case Study: FMCG Industries),English,53,48,62,2022,18
619,LSPR23: A novel IDS dataset from the largest live-fire cybersecurity exercise,English,58,0,0,2024,14
620,An IoT-based Common Platform Integrating Robots and Virtual Characters for High Performance and Cybersecurity,English,34,0,0,2019,6
621,Artificial intelligence enabled intrusion detection systems for cognitive cyber-physical systems in industry 4.0 environment,English,31,57,66,2022,13
622,Challenges in cybersecurity,English,17,0,0,2024,7
623,Digital twin technology and artificial intelligence in energy transition: A comprehensive systematic review of applications,English,97,6,6,2025,23
624,Implementation of OSINT for Improving an International Finance Sector Organization's Cybersecurity,English,11,0,0,2024,5
625,"The good, the bad, and the algorithm: The impact of generative AI on cybersecurity",English,77,2,2,2025,13
626,Decentralized artificial intelligence in construction using blockchain,English,70,9,9,2024,20
627,Intrusion Detection System using Autoencoder based Deep Neural Network for SME Cybersecurity,English,15,0,0,2021,6
628,Smart Augmented Reality Glasses in Cybersecurity and Forensic Education,English,7,7,7,2016,3
629,Cybersecurity Analytics for the Enterprise Environment: A Systematic Literature Review,English,106,0,0,2025,55
630,Enhancing Cybersecurity in the Internet of Things Environment Using Artificial Orca Algorithm and Ensemble Learning Model,English,28,3,3,2024,10
631,Exploring Effective Zero Trust Architecture for Defense Cybersecurity: A Study,English,83,2,3,2024,27
632,Cybersecurity and Cyber Forensics for Smart Cities: A Comprehensive Literature Review and Survey,English,153,11,17,2023,25
633,Artificial intelligence (AI) advancements for transportation security: in-depth insights into electric and aerial vehicle systems,English,106,7,8,2024,51
634,Artificial Intelligence in Senology - Where Do We Stand and What Are the Future Horizons?,English,80,3,4,2024,8
635,Artificial intelligence in dentistry: insights and expectations from Swiss dental professionals,English,74,0,0,2025,13
636,A Network-Based Intrusion Detection System Based on Widely Used Cybersecurity Datasets and State of the Art ML Techniques,English,21,1,1,2024,14
637,CDGM: Controllable Dataset Generation Method for Cybersecurity,English,31,0,0,2025,16
638,Artificial Intelligence Application in Cybersecurity and Cyberdefense,English,43,7,32,2021,10
639,Prototype of a Security System with Artificial Intelligence Using Neural Networks and Evolutionary Algorithms,English,13,0,0,2018,9
640,A Comprehensive Analysis of the Worst Cybersecurity Vulnerabilities in Latin America,English,53,2,5,2023,24
641,Conscious Machines for Autonomous Agents and Cybersecurity,English,10,0,0,2021,4
642,A Review of Intelligent Cybersecurity with Bayesian Networks,English,32,2,3,2019,8
643,Utilization and Sharing of Cyber Threat Intelligence Produced by Open-Source Intelligence,English,15,0,0,2024,5
644,Trustworthy Artificial Intelligence for Securing Transportation Systems,English,0,1,1,2024,2
645,Distributed real-time SlowDoS attacks detection over encrypted traffic using Artificial Intelligence,English,44,42,47,2021,16
646,Cybersecurity policy on smart city infrastructure: a mapping of new threats and protections,English,112,0,0,2025,21
647,Cybersafety Approach to Cybersecurity Analysis and Mitigation for Mobility-as-a-Service and Internet of Vehicles,English,30,13,17,2021,22
648,"Cybersecurity of Automotive Wired Networking Systems: Evolution, Challenges, and Countermeasures",English,107,1,1,2025,29
649,Cybersecurity for Microgrid,English,4,12,13,2020,5
650,Machine Learning-Based Intrusion Detection for Achieving Cybersecurity in Smart Grids Using IEC 61850 GOOSE Messages,English,30,41,51,2021,15
651,Intelligent Energy Management Systems in Industry 5.0: Cybersecurity Applications in Examples,English,78,1,1,2024,21
652,AI for cyber-security risk: harnessing AI for automatic generation of company-specific cybersecurity risk profiles,English,52,1,1,2025,27
653,"Cybersecurity in Internet of Medical Vehicles: State-of-the-Art Analysis, Research Challenges and Future Perspectives",English,127,7,7,2023,43
654,ARTIFICIAL INTELLIGENCE (AI) ADOPTION: AN EXTENDED COMPENSATORY LEVEL OF ACCEPTANCE,English,25,6,9,2023,23
655,An Automated Compliance Framework for Critical Infrastructure Security Through Artificial Intelligence,English,80,4,5,2025,24
656,Improving Threat Mitigation Through a Cybersecurity Risk Management Framework: A Computational Design Science Approach,English,81,11,14,2024,30
657,Understanding User Behavior for Enhancing Cybersecurity Training with Immersive Gamified Platforms,English,95,1,1,2024,22
658,Machine Learning Cybersecurity Adoption in Small and Medium Enterprises in Developed Countries,English,49,27,40,2021,27
659,Cybersecurity Challenges of Autonomous Systems,English,56,0,0,2025,10
660,Hackers Weaponry: Leveraging AI Chatbots for Cyber Attacks,English,6,0,0,2024,14
661,algoTRIC: Symmetric and Asymmetric Encryption Algorithms for Cryptography - A Comparative Analysis in AI Era,English,64,1,1,2024,14
662,A review of cybersecurity incidents in the food and agriculture sector,English,220,0,0,2025,20
663,Threat Landscape and Integrated Cybersecurity Framework for V2V and Autonomous Electric Vehicles,English,63,0,0,2025,20
664,Blockchain-Based Data-Preserving AI Learning Environment Model for AI Cybersecurity Systems in IoT Service Environments,English,36,23,40,2020,12
665,Federated Zero Trust Architecture using Artificial Intelligence,English,15,5,10,2024,6
666,The Effects of Cyber Security Attacks on Data Integrity in AI,English,15,0,0,2024,6
667,"May the Source Be with You: On ChatGPT, Cybersecurity, and Secure Coding",English,49,2,2,2024,26
668,Review of Recent Advances in Predictive Maintenance and Cybersecurity for Solar Plants,English,89,5,6,2025,23
669,"Resilience and Resilient Systems of Artificial Intelligence: Taxonomy, Models and Methods",English,166,11,16,2023,44
670,Advanced artificial intelligence with federated learning framework for privacy-preserving cyberthreat detection in IoT-assisted sustainable smart cities,English,40,5,6,2025,26
671,Identification Overview of Industry 4.0 Essential Attributes and Resource-Limited Embedded Artificial-Intelligence-of-Things Devices for Small and Medium-Sized Enterprises,English,79,24,29,2022,26
672,Review of Challenges and Need of Artificial Intelligence for the Modern Businesses in light of Strategic Vision documents of the GCC countries,English,38,0,0,2023,7
673,"Application of Artificial Intelligence to Network Forensics: Survey, Challenges and Future Directions",English,184,12,13,2022,23
674,Tensor networks for explainable machine learning in cybersecurity,English,23,0,0,2025,10
675,Cybersecurity Analysis via Process Mining: A Systematic Literature Review,English,63,6,6,2022,15
676,Artificial intelligence and urology: ethical considerations for urologists and patients,English,93,36,37,2024,10
677,Applying the Experience of Artificial Intelligence Methods for Information Systems Cyber Protection at Industrial Control Systems,English,14,0,0,2021,5
678,Securing Urban Landscape: Cybersecurity Mechanisms for Resilient Smart Cities,English,24,0,0,2025,12
679,"Artificial intelligence for IoMT security: A review of intrusion detection systems, attacks, datasets and Cloud-Fog-Edge architectures",English,80,58,68,2023,33
680,Role of three-dimensional printing and artificial intelligence in the management of hepatocellular carcinoma: Challenges and opportunities,English,208,11,13,2022,30
681,A novel optimization based deep learning with artificial intelligence approach to detect intrusion attack in network system,English,35,14,28,2024,25
682,An assessment framework for explainable AI with applications to cybersecurity,English,38,4,4,2025,19
683,"THE FUTURE OF ARTIFICIAL INTELLIGENCE: FEAR, HOPE OR INDIFFERENCE?",English,78,3,5,2024,292
684,Security Awareness in Smart Homes and Internet of Things Networks through Swarm-Based Cybersecurity Penetration Testing,English,53,0,1,2023,23
685,Artificial Intelligence in the Aviation Manufacturing Process for Complex Assemblies and Components,English,15,1,1,2019,7
686,Blockchain-Enabled Cybersecurity Provision for Scalable Heterogeneous Network: A Comprehensive Survey,English,393,6,8,2024,81
687,Modular deep learning-based network intrusion detection architecture for real-world cyber-attack simulation,English,28,3,3,2024,9
688,Interpretable Machine Learning Models for Malicious Domains Detection Using Explainable Artificial Intelligence (XAI),English,39,31,36,2022,22
689,SOTER: A Playbook for Cybersecurity Incident Management,English,43,22,25,2022,21
690,Comparative Analysis of AI-Based Methods for Enhancing Cybersecurity Monitoring Systems,English,32,1,1,2024,13
691,"Quality Models for Artificial Intelligence Systems: Characteristic-Based Approach, Development and Application",English,124,13,19,2022,36
692,"REGULATING THE INTERNET OF THINGS: DISCRIMINATION, PRIVACY, AND CYBERSECURITY IN THE ARTIFICIAL INTELLIGENCE AGE",English,222,30,41,2018,57
693,Generative artificial intelligence for sustainable development: predictive trend analysis in key sectors using natural language processing,English,116,0,0,2025,26
694,The survey on the dual nature of xAI challenges in intrusion detection and their potential for AI innovation,English,53,0,1,2024,32
695,Perspectives for artificial intelligence in sustainable energy systems,English,47,7,8,2025,9
696,Integrating Explainable Artificial Intelligence in Anomaly Detection for Threat Management in E-Commerce Platforms,English,33,0,0,2025,17
697,Artificial Intelligence Based Intrusion Detection System for IEC 61850 Sampled Values Under Symmetric and Asymmetric Faults,English,36,38,41,2021,10
698,Human-AI Enhancement of Cyber Threat Intelligence,English,64,1,1,2025,15
699,Optimally Designing Cybersecurity Insurance Contracts to Encourage the Sharing of Medical Data,English,32,0,0,2022,6
700,From Nanobots to Neural Networks: Multifaceted Revolution of Artificial Intelligence in Surgical Medicine and Therapeutics,English,36,2,3,2023,8
701,Mitigating cyber threats in healthcare systems: the role of artificial intelligence and machine learning,English,44,0,0,2023,40
702,SecureMD5: A new stream cipher for secure file systems and encryption key generation with artificial intelligence,English,49,0,0,2026,14
703,The Need for Cybersecurity in Industrial Revolution and Smart Cities,English,123,12,17,2023,20
704,Design and Implementation of a Multi-Facet Hierarchical Cybersecurity Education Framework,English,18,4,4,2016,6
705,A Survey of Cybersecurity of Digital Manufacturing,English,122,36,46,2021,22
706,Augmented Reality-Based Cybersecurity Education on Phishing,English,18,6,7,2021,4
707,The state of artificial intelligence in medical research: A survey of corresponding authors from top medical journals,English,41,8,8,2024,15
708,Towards an AI-Enhanced Cyber Threat Intelligence Processing Pipeline,English,68,5,8,2024,19
709,Measuring the Quality Information of Sources of Cybersecurity by Multi-Criteria Decision Making Techniques,English,31,2,2,2022,13
710,Artificial Intelligence empowered Cyber Threat Detection and Protection for Power Utilities,English,14,12,15,2019,6
711,"Legal, Policy, and Compliance Issues in Using AI for Security: Using Taiwan's Cybersecurity Management Act and Penetration Testing as Examples",English,12,0,0,2024,16
712,Artificial Immune Ecosystems: the role of expert-based learning in artificial cognition,English,11,1,1,2018,5
713,"Climate-Proofing Critical Energy Infrastructure: Smart Grids, Artificial Intelligence, and Machine Learning for Power System Resilience against Extreme Weather Events",English,110,23,28,2024,16
714,Foundations and applications of artificial Intelligence for zero-day and multi-step attack detection,English,111,27,41,2018,21
715,NLP-based techniques for Cyber Threat Intelligence,English,329,0,0,2025,49
716,Ethical Challenges and Opportunities in Applying Artificial Intelligence to Cardiovascular Medicine,English,72,13,17,2024,10
717,"Adoption of Explainable Artificial Intelligence, to Protect Key Decision Processes from Information Manipulations and Disorders (Work in Progress)",English,50,0,0,2024,10
718,"Unveiling the multifaceted concept of cognitive security: Trends, perspectives, and future challenges?",English,155,0,0,2025,17
719,Cybersecurity in Smart Renewable Energy Systems,English,34,2,3,2024,7
720,Cybersecurity for Battlefield of Things - A Comprehensive Review,English,105,3,3,2022,49
721,Denial of Service Countermeasures: Intelligence Development and Analysis at the Network Node Level,English,12,0,0,2010,8
722,AI/ML and Cybersecurity in Power Electronics,English,1,3,3,2022,4
723,Early DGA-based botnet identification: pushing detection to the edges,English,43,6,7,2021,16
724,Exploring the Role of Artificial Intelligence in Mental Healthcare: Current Trends and Future Directions - A Narrative Review for a Comprehensive Insight,English,79,30,33,2024,10
725,"A survey on safeguarding critical infrastructures: Attacks, AI security, and future directions",English,91,9,14,2024,18
726,Leveraging Artificial Intelligence and Machine Learning to Optimize Enhanced Recovery After Surgery (ERAS) Protocols,English,5,7,10,2024,4
727,Deep Learning Applications on Cybersecurity,English,22,3,5,2021,11
728,Prospects for AI clinical summarization to reduce the burden of patient chart review,English,46,4,4,2024,9
729,Are current clinical studies on artificial intelligence-based medical devices comprehensive enough to support a full health technology assessment? A systematic review,English,115,19,21,2023,13
730,Cloud Security Automation Through Symmetry: Threat Detection and Response,English,57,0,0,2025,21
731,Neural Networks Toward Cybersecurity: Domaine Map Analysis of State-of-the-Art Challenges,English,104,3,3,2024,16
732,Achieving Explainability of Intrusion Detection System by Hybrid Oracle-Explainer Approach,English,21,45,46,2020,8
733,Cybersecurity for autonomous vehicles: Review of attacks and defense,English,165,215,253,2021,27
734,Analyzing the Adoption Challenges of the Internet of Things (IoT) and Artificial Intelligence (AI) for Smart Cities in China,English,333,47,60,2021,35
735,Artificial Intelligence and the Great Machine Problem: Avoiding Technology Oversimplication in Homeland Security and Emergency Management,English,57,0,0,2025,21
736,Efficient and Standardized Alarm Rationalization for Cybersecurity Monitoring,English,20,0,0,2024,9
737,Explainable Artificial Intelligence for Smart Grid Intrusion Detection Systems,English,21,5,6,2022,7
738,Design of advanced intrusion detection in cybersecurity using ensemble of deep learning models with an improved beluga whale optimization algorithm,English,38,1,1,2025,13
739,Understanding the Cyber-Physical System in International Stadiums for Security in the Network from Cyber-Attacks and Adversaries using AI,English,26,11,13,2022,18
740,"Redefining Healthcare With Artificial Intelligence (AI): The Contributions of ChatGPT, Gemini, and Co-pilot",English,38,37,49,2024,9
741,Impact of cybersecurity on operations and supply chain management: Emerging trends and future research directions,English,107,64,78,2022,13
742,Securing smart microgrids with a novel multi-layer cybersecurity framework for Industry 4.0 renewable energy systems,English,23,0,0,2025,33
743,Securing the digital world: Protecting smart infrastructures and digital industries with artificial intelligence (AI)-enabled malware and intrusion detection,English,67,46,71,2023,12
744,A review on the static and dynamic risk assessment methods for OT cybersecurity in industry 4.0,English,85,1,1,2025,11
745,Artificial Neural Networks with Soft Attention: Natural Language Processing for Phishing Email Detection Optimized with Modified Metaheuristics,English,49,0,0,2025,18
746,Bird's-eye view on the Automotive Cybersecurity Landscape & Challenges in adopting AI/ML,English,27,4,4,2021,6
747,Human-Collaborative Artificial Intelligence Along With Social Values in Industry 5.0: A Survey of the State-of-the-Art,English,77,16,20,2024,12
748,"Federated Learning for Cybersecurity: Concepts, Challenges, and Future Directions",English,30,152,166,2022,9
749,"The influence of work overload on cybersecurity behavior: A moderated mediation model of psychological contract breach, burnout, and self-efficacy in AI learning such as ChatGPT",English,70,18,18,2024,13
750,Deep Learning of Sensor Data in Cybersecurity of Robotic Systems: Overview and Case Study Results,English,48,5,5,2023,23
751,A Novel Artificial General Intelligence Security Evaluation Scheme Based on an Analytic Hierarchy Process Model with a Generic Algorithm,English,27,2,2,2024,11
752,A Comprehensive Survey of Explainable Artificial Intelligence Techniques for Malicious Insider Threat Detection,English,82,0,0,2025,27
753,Scaling Building Intelligence,English,0,0,0,2024,3
754,The Dark Side of AI: Large Language Models as Tools for Cyber Attacks on Vehicle Systems,English,17,0,0,2024,7
755,Big Data Analytics in Cybersecurity: Network Data and Intrusion Prediction,English,15,3,4,2019,7
756,"From COBIT to ISO 42001: Evaluating cybersecurity frameworks for opportunities, risks, and regulatory compliance in commercializing large language models",English,95,12,16,2024,16
757,"Artificial Intelligence (AI) in Surface Water Management: A Comprehensive Review of Methods, Applications, and Challenges",English,127,1,1,2025,27
758,"Cybersecurity Education in High School: Exploring Cyber Assets, Cyber Value at Risk, and Authentic Assessment",English,36,0,0,2024,9
759,"Big Data, Machine Learning, Artificial Intelligence and Blockchain in Corporate Governance",English,34,3,3,2023,10
760,State data security backed by Artificial Intelligence and Zero Knowledge Proofs in the context of sanctions and economic pressure,English,24,0,0,2023,13
761,ARTIFICIAL INTELLIGENCE (AI) TECHNIQUES FOR MAXIMIZING VALUE OF POWER GENERATING ASSETS,English,8,0,0,2018,8
762,Examining the integration of artificial intelligence in supply chain management from Industry 4.0 to 6.0: a systematic literature review,English,57,6,9,2025,17
763,"FRAUD-X: An Integrated AI, Blockchain, and Cybersecurity Framework With Early Warning Systems for Mitigating Online Financial Fraud: A Case Study From North Macedonia",English,28,0,0,2025,15
764,Cyber threat intelligence challenges: Leveraging blockchain intelligence with possible solution,English,17,18,20,2022,8
765,Cybersecurity and cyber-attacks in the growing natural gas and hydrogen Industry: A systematic review of challenges and opportunities,English,82,0,0,2025,11
766,Measuring Behavioural Cybersecurity: An Overview of Options,English,26,2,2,2023,12
767,Cybersecurity Challenges and Threats in Adoption of Industry 4.0: A Disscussion Over Integration of Blockchain,English,38,1,2,2022,8
768,Explainable artificial intelligence in web phishing classification on secure IoT with cloud-based cyber-physical systems,English,37,2,4,2025,16
769,Investigation of Domain Name System Attack Clustering using Semi-Supervised Learning with Swarm Intelligence Algorithms,English,30,3,3,2021,9
770,AI-Enabled Trust in Distributed Networks,English,76,10,10,2023,19
771,Toward a Data-Driven Society: A Technological Perspective on the Development of Cybersecurity and Data-Protection Policies,English,25,7,8,2020,11
772,THE IMPLICATIONS OF INTEGRATING ARTIFICIAL INTELLIGENCE INTO DATA-DRIVEN DECISION-MAKING,English,42,0,1,2024,13
773,"Artificial Intelligence and Digital Twin Technologies for Intelligent Lithium-Ion Battery Management Systems: A Comprehensive Review of State Estimation, Lifecycle Optimization, and Cloud-Edge Integration",English,154,0,0,2025,51
774,AIGC challenges and opportunities related to public safety: A case study of ChatGPT,English,32,45,59,2023,11
775,Ethical issues of artificial intelligence in plastic surgery: a narrative review,English,31,3,4,2024,14
776,Large Language Models for Cybersecurity: New Opportunities,English,15,0,0,2024,8
777,Meta-feature-based data preprocessing for machine learning through correlation structures and cost-aware benchmarking: A case study in cybersecurity,English,41,0,0,2025,34
778,Fast Hybrid Oracle-Explainer Approach to Explainability Using Optimized Search of Comprehensible Decision Trees,English,47,2,2,2022,10
779,Leveraging Artificial Intelligence and Provenance Blockchain Framework to Mitigate Risks in Cloud Manufacturing in Industry 4.0,English,46,2,2,2024,20
780,CASIE: Extracting Cybersecurity Event Information from Text,English,44,79,90,2020,9
781,Friend or Foe? AI and the Evolving Landscape of Ransomware-as-a-Service (RaaS),English,46,0,0,2024,5
782,A Neuro-Symbolic Artificial Intelligence Network Intrusion Detection System,English,20,1,1,2024,9
783,Cybersecurity as an Application Domain for Multiagent Systems,English,39,12,14,2015,6
784,"Testing autonomous vehicles and AI: perspectives and challenges from cybersecurity, transparency, robustness and fairness",English,185,0,0,2025,26
785,Applied Machine Learning for Information Security,English,58,0,0,2024,5
786,Increasing access to care: telehealth during COVID-19,English,4,119,142,2020,15
787,Artificial Intelligence and Machine Learning Applied at the Point of Care,English,71,47,62,2020,12
788,Cybersecurity knowledge graphs construction and quality assessment,English,39,14,16,2024,17
789,Darknet and Deepnet Mining for Proactive Cybersecurity Threat Intelligence,English,22,106,136,2016,6
790,Enhancing cybersecurity in Agriculture 4.0: A high-performance hybrid deep learning-based framework for DDoS attack detection,English,55,0,0,2025,30
791,CySCom: CyberSecurity COMics Using Comics for Teaching Cybersecurity Concepts to Youth,English,16,2,2,2016,3
792,Hybridization of deep learning models with crested porcupine optimizer algorithm-based cybersecurity detection on industrial IoT for smart city environments,English,23,0,0,2025,12
793,Artificial Intelligence Implementation to Counteract Cybercrimes Against Children in Pakistan,English,59,5,7,2022,19
794,Exploring Key Hackers and Cybersecurity Threats in Chinese Hacker Communities,English,20,18,21,2016,6
795,The Construction of Network Domain Name Security Access Identification System Based on Artificial Intelligence,English,13,0,0,2023,13
796,Cybersecurity Anomaly Detection: AI and Ethereum Blockchain for a Secure and Tamperproof IoHT Data Management,English,62,6,7,2024,16
797,"A survey on artificial intelligence techniques for security event correlation: models, challenges, and opportunities",English,163,24,28,2023,44
798,MaCySTe: A virtual testbed for maritime cybersecurity,English,49,19,19,2023,8
799,A New Cybersecurity Approach Enhanced by xAI-Derived Rules to Improve Network Intrusion Detection and SIEM,English,30,0,0,2025,15
800,Human Characteristics and Genomic Factors as Behavioural Aspects for Cybersecurity,English,81,1,1,2021,18
801,Can LLM-generated misinformation be detected: A study on Cyber Threat Intelligence,English,62,0,0,2025,14
802,"Cyber-physical security for IoT networks: a comprehensive review on traditional, blockchain and artificial intelligence based key-security",English,173,42,56,2022,33
